year	gdp
1995	22758.59765625
1996	23756.978515625
1997	23659.3203125
1998	23597.306640625
1999	23948.384765625
2000	24976.505859375
2001	25833.4140625
2002	26289.626953125
2003	27239.55859375
2004	28542.25390625
2005	30384.447265625
2006	32352.8125
2007	33956.24609375
2008	34580.44140625
2009	32782.61328125
2010	33483.13671875
2011	34002.19140625
2012	33688.1015625
2013	33661.46875
2014	34386.703125
2015	36168.41796875
2016	37014.9609375
2017	38824.88671875
2018	39932.9921875
2019	40981.0546875
2020	38511.26953125
