year	pop
1950	2.564806
1951	2.589209
1952	2.615048
1953	2.641914
1954	2.669865
1955	2.699055
1956	2.729754
1957	2.76299
1958	2.799009
1959	2.836511
1960	2.875686
1961	2.915636
1962	2.952463
1963	2.986535
1964	3.020459
1965	3.052981
1966	3.084152
1967	3.115198
1968	3.146355
1969	3.177835
1970	3.210153
1971	3.243681
1972	3.276294
1973	3.307076
1974	3.337693
1975	3.368288
1976	3.399024
1977	3.430118
1978	3.460856
1979	3.49144
1980	3.521205
1981	3.550543
1982	3.580827
1983	3.612642
1984	3.643842
1985	3.672853
1986	3.702823
1987	3.73201
1988	3.755543
1989	3.773181
1990	3.785851
1991	3.79343
1992	3.795748
1993	3.788532
1994	3.770461
1995	3.747269
1996	3.722023
1997	3.694897
1998	3.665514
1999	3.633949
2000	3.599639
2001	3.560145
2002	3.515799
2003	3.469683
2004	3.422593
2005	3.373536
2006	3.322937
2007	3.272416
2008	3.224384
2009	3.180482
2010	3.139021
2011	3.0998
2012	3.06334
2013	3.028191
2014	2.994928
2015	2.963764
2016	2.933676
2017	2.904452
2018	2.876128
2019	2.849083
2020	2.820269
