year	pop
1950	1.922524
1951	1.944999
1952	1.96717
1953	1.988469
1954	2.010067
1955	2.032506
1956	2.054645
1957	2.077358
1958	2.101587
1959	2.127087
1960	2.154253
1961	2.182716
1962	2.210152
1963	2.236423
1964	2.262862
1965	2.287813
1966	2.310943
1967	2.333511
1968	2.355476
1969	2.376691
1970	2.397412
1971	2.418302
1972	2.43849
1973	2.45703
1974	2.47508
1975	2.492531
1976	2.508852
1977	2.524842
1978	2.540598
1979	2.556226
1980	2.572039
1981	2.588054
1982	2.604944
1983	2.62316
1984	2.640609
1985	2.655099
1986	2.668865
1987	2.68183
1988	2.690475
1989	2.693388
1990	2.689398
1991	2.67897
1992	2.662885
1993	2.638889
1994	2.606464
1995	2.57015
1996	2.534288
1997	2.498881
1998	2.462333
1999	2.426357
2000	2.392536
2001	2.359255
2002	2.32615
2003	2.294342
2004	2.263453
2005	2.233165
2006	2.203917
2007	2.176059
2008	2.150411
2009	2.126268
2010	2.101537
2011	2.076974
2012	2.053635
2013	2.031491
2014	2.01104
2015	1.991951
2016	1.973477
2017	1.954861
2018	1.935632
2019	1.916552
2020	1.897057
