year	gdp
1995	13254.5283203125
1996	14102.08203125
1997	14910.1943359375
1998	15497.1494140625
1999	15464.9443359375
2000	15666.5419921875
2001	16205.9296875
2002	16942.884765625
2003	17886.357421875
2004	18834.390625
2005	20079.91015625
2006	21784.330078125
2007	24136.97265625
2008	25460.73828125
2009	24039.662109375
2010	25528.74609375
2011	26168.27734375
2012	26478.6015625
2013	26623.349609375
2014	27322.142578125
2015	28719.86328125
2016	29236.921875
2017	30061.55078125
2018	31159.0234375
2019	31927.59375
2020	30509.76953125
